Ticker,Date,Alpha,Beta,StandardDeviation,RSquared,SharpeRatio,TreynorRatio,TrackingError,InformationRatio,SortinoRatio,Momentum,AnnualizedReturn,UpsideCapture,DownsideCapture
MDW,2014-10-31,6.56,0.94,60.93,4.07,0.36,0.23,59.68,0.11,0.82,25.81,4.7,23.89,62.83
MOFG,2014-10-31,18.42,0.62,25.84,9.83,1.1,0.46,25.05,0.74,2.57,250.73,28.53,111.98,42.96
MM,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MILL,2014-10-31,56.0,2.89,178.21,4.55,0.58,0.36,175.87,0.32,3.22,461.29,41.2,252.16,259.03
MDXG,2014-10-31,70.35,0.07,69.62,0.02,1.03,10.12,70.67,1.0,2.98,1205.13,67.16,152.57,-89.99
MSA,2014-10-31,-1.12,1.5,28.7,47.42,0.81,0.15,21.84,-0.05,1.8,161.73,21.22,143.6,168.3
MTX,2014-10-31,4.76,1.35,26.84,43.48,0.99,0.2,20.69,0.23,1.62,215.63,25.84,151.6,155.83
MG,2014-10-31,8.87,0.35,38.63,1.4,0.38,0.42,39.31,0.23,0.63,42.65,7.36,43.53,57.82
MIND,2014-10-31,-7.9,1.49,44.79,19.14,0.36,0.11,40.79,-0.19,0.66,40.69,7.07,105.07,195.74
MITK,2014-10-31,28.36,2.05,90.67,8.82,0.68,0.3,87.67,0.32,1.13,177.0,22.6,180.9,291.38
MKSI,2014-10-31,-0.67,1.45,29.55,41.66,0.78,0.16,23.33,-0.03,1.46,153.52,20.45,144.93,168.93
MINI,2014-10-31,0.91,1.72,35.72,39.95,0.81,0.17,29.24,0.03,1.2,204.78,24.97,197.94,258.01
MOD,2014-10-31,-21.54,2.22,44.93,42.1,0.32,0.07,37.75,-0.57,0.5,24.56,4.49,167.37,332.97
MLNK,2014-10-31,-24.32,1.34,49.95,12.49,-0.05,-0.02,46.94,-0.52,-0.11,-50.27,-13.04,55.13,240.29
MCP,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNTA,2014-10-31,-15.07,1.94,53.63,22.64,0.31,0.08,48.76,-0.31,0.56,19.63,3.65,116.44,216.39
MCRI,2014-10-31,7.56,1.09,42.08,11.57,0.6,0.23,39.59,0.19,1.32,134.44,18.58,130.9,160.08
MGI,2014-10-31,-34.86,1.55,46.01,19.52,-0.21,-0.06,41.9,-0.83,-0.34,-64.05,-18.5,36.11,251.92
MPWR,2014-10-31,-2.05,1.5,33.04,35.4,0.67,0.15,27.34,-0.07,1.12,132.12,18.34,149.16,194.91
TYPE,2014-10-31,18.47,0.82,30.1,12.67,1.05,0.39,28.23,0.65,2.14,289.04,31.22,109.59,49.77
MNRO,2014-10-31,15.16,0.48,24.28,6.7,0.94,0.48,24.44,0.62,1.41,170.54,22.02,70.7,1.26
MWW,2014-10-31,-49.75,2.47,59.33,30.02,-0.16,-0.04,53.27,-0.93,-0.35,-73.42,-23.28,80.34,420.93
MHGC,2014-10-31,-1.02,1.68,44.07,25.12,0.6,0.16,39.17,-0.03,1.62,140.66,19.2,145.52,171.97
MOSY,2014-10-31,-12.95,1.7,51.68,18.72,0.28,0.09,47.49,-0.27,0.59,13.98,2.65,130.15,243.86
NPK,2014-10-31,-14.46,1.08,22.46,39.64,0.13,0.03,17.48,-0.83,0.25,3.02,0.6,66.4,152.82
MOV,2014-10-31,12.66,1.38,45.6,15.83,0.77,0.25,42.13,0.3,2.3,260.72,29.25,136.75,106.55
MOVE,2014-10-31,4.44,1.48,45.19,18.64,0.63,0.19,41.25,0.11,1.34,155.49,20.64,117.23,121.35
MRC,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MSM,2014-10-31,-0.5,1.1,24.17,35.64,0.72,0.16,19.43,-0.03,1.54,106.35,15.59,106.61,130.7
NATH,2014-10-31,28.18,0.45,25.9,5.26,1.37,0.79,26.22,1.07,2.65,395.72,37.74,112.43,-11.91
MSCI,2014-10-31,-9.65,1.34,26.37,44.27,0.46,0.09,20.17,-0.48,0.63,53.49,8.95,101.77,151.15
MTSC,2014-10-31,1.47,1.43,29.41,40.62,0.84,0.17,23.34,0.06,1.59,176.9,22.59,140.62,172.96
MLI,2014-10-31,9.13,0.91,25.25,22.58,0.95,0.26,22.25,0.41,1.67,182.95,23.12,118.22,101.5
MWA,2014-10-31,-6.75,2.12,44.33,39.43,0.62,0.13,37.5,-0.18,0.83,139.22,19.06,208.33,335.17
LABL,2014-10-31,17.38,0.94,33.21,13.97,0.99,0.35,30.81,0.56,1.83,289.65,31.26,116.19,71.75
MFLX,2014-10-31,-29.06,0.93,33.92,13.11,-0.41,-0.15,31.63,-0.92,-0.64,-62.75,-17.92,22.02,205.29
MGAM,2014-10-31,26.67,1.49,50.37,15.15,1.01,0.34,46.85,0.57,2.42,610.79,48.03,160.85,51.77
MVC,2014-10-31,-6.31,1.0,21.38,38.0,0.47,0.1,16.84,-0.37,0.81,47.97,8.15,70.52,99.96
MWIV,2014-10-31,28.73,0.4,26.93,3.81,1.31,0.88,27.56,1.04,2.09,379.25,36.81,98.34,-27.71
MYRG,2014-10-31,-6.29,1.2,32.51,23.57,0.41,0.11,28.55,-0.22,0.83,50.99,8.59,99.03,158.06
