Ticker,Date,Alpha,Unemployment,ConsumerSentiment,Market,Size,ValueGrowth,AlphaStd,UnemploymentStd,ConsumerSentimentStd,MarketStd,SizeStd,ValueGrowthStd,TotalRisk,DiversifiableRisk,NonDiversifiableRisk
RDI,2014-09-30,0.062,-0.587,0.04,0.03,0.509,0.086,0.068,0.805,0.179,0.279,0.493,0.533,23.976,23.488,4.812
RBC,2014-09-30,-0.091,1.019,-0.199,1.169,0.45,0.144,0.054,0.643,0.143,0.222,0.394,0.425,26.452,18.605,18.803
REV,2014-09-30,-0.294,3.724,-0.089,2.769,-3.171,-0.66,0.192,2.286,0.507,0.791,1.4,1.512,74.911,66.535,34.421
SAPE,2014-09-30,-0.073,0.872,0.376,0.894,0.902,-0.567,0.06,0.721,0.16,0.249,0.442,0.477,27.773,20.897,18.294
SPNS,2014-09-30,-0.157,2.149,-0.306,1.643,-0.046,-0.3,0.125,1.492,0.331,0.516,0.914,0.987,49.59,43.429,23.939
SBNY,2014-09-30,-0.016,0.408,-0.074,0.47,0.927,0.005,0.051,0.604,0.134,0.209,0.37,0.399,21.186,17.548,11.872
SGY,2014-09-30,-0.112,1.207,-0.144,2.367,0.479,-0.195,0.109,1.297,0.288,0.449,0.794,0.858,50.91,37.566,34.361
SUBK,2014-09-30,0.078,-1.058,0.405,0.419,0.96,1.034,0.079,0.94,0.209,0.325,0.576,0.622,32.374,27.342,17.335
STLD,2014-09-30,0.008,-0.244,0.013,1.743,-0.348,0.463,0.073,0.874,0.194,0.302,0.535,0.578,34.756,25.312,23.817
TGE,2014-09-30,-0.153,1.746,-0.129,1.333,1.141,0.811,0.132,1.569,0.348,0.543,0.961,1.038,52.659,45.646,26.257
TXRH,2014-09-30,-0.014,0.3,0.083,0.597,0.735,0.484,0.053,0.631,0.14,0.218,0.387,0.418,22.619,18.337,13.243
TFX,2014-09-30,-0.011,0.172,-0.084,0.971,-0.237,0.005,0.043,0.51,0.113,0.177,0.313,0.338,19.463,14.802,12.638
UGI,2014-09-30,0.03,-0.255,-0.113,0.524,0.078,0.443,0.037,0.436,0.097,0.151,0.267,0.288,15.495,12.665,8.928
UPIP,2014-09-30,0.035,-0.532,0.329,0.846,0.562,0.206,0.145,1.733,0.385,0.599,1.062,1.146,53.079,50.517,16.293
VNTV,2014-09-30,-0.108,1.679,0.511,0.433,0.589,-1.368,0.119,1.627,0.237,0.422,0.7,0.757,22.091,17.953,12.874
VRTU,2014-09-30,-0.018,0.229,0.066,1.867,0.604,-0.997,0.084,0.996,0.221,0.345,0.61,0.659,39.773,28.841,27.388
VSAT,2014-09-30,-0.105,1.257,0.492,1.205,0.024,-0.21,0.085,1.018,0.226,0.352,0.624,0.674,35.172,29.609,18.984
VSH,2014-09-30,-0.1,1.11,0.052,1.916,1.406,-0.246,0.094,1.119,0.249,0.387,0.686,0.74,46.175,32.382,32.917
ZAGG,2014-09-30,-0.134,1.491,-0.558,2.33,-0.003,-3.746,0.173,2.057,0.457,0.712,1.26,1.361,70.532,59.816,37.373
DXPE,2014-09-30,-0.088,1.351,-0.039,1.153,1.025,0.077,0.113,1.346,0.299,0.466,0.825,0.891,44.739,39.183,21.593
GOOG,2014-09-30,0.055,-0.0,-0.192,-0.1,-3.821,0.593,0.0,1.227,1.2,3.058,12.309,7.003,10.123
ERII,2014-09-30,0.03,-0.432,0.184,0.436,0.959,0.872,0.135,1.606,0.357,0.556,0.984,1.062,49.036,46.817,14.583
ECYT,2014-09-30,-0.27,3.881,-0.44,0.507,2.044,3.628,0.348,4.423,0.719,1.407,2.611,2.728,87.243,83.171,26.341
ENS,2014-09-30,-0.039,0.481,-0.033,1.35,0.757,0.217,0.058,0.688,0.153,0.238,0.421,0.455,29.884,19.858,22.332
AEL,2014-09-30,-0.053,0.669,0.155,1.53,0.23,0.262,0.059,0.703,0.156,0.243,0.431,0.465,30.381,20.297,22.606
HCP,2014-09-30,-0.088,1.099,-0.196,0.697,-0.931,0.216,0.045,0.534,0.118,0.185,0.327,0.353,18.618,15.511,10.297
HIG,2014-09-30,0.01,-0.292,0.116,1.781,-0.252,0.881,0.05,0.59,0.131,0.204,0.362,0.39,30.875,16.892,25.844
CBF,2014-09-30,-0.019,0.569,-0.047,-0.36,0.397,-0.295,0.183,2.593,0.313,0.608,0.935,0.965,21.37,20.878,4.559
HPQ,2014-09-30,0.083,-1.212,0.222,1.276,0.273,0.155,0.079,0.937,0.208,0.324,0.574,0.62,34.018,27.213,20.412
BMTC,2014-09-30,-0.002,0.056,0.014,0.701,0.546,0.747,0.046,0.55,0.122,0.19,0.337,0.364,21.284,15.955,14.088
ACHN,2014-09-30,0.254,-2.592,0.784,1.358,3.612,-1.063,0.285,3.4,0.755,1.176,2.083,2.249,108.266,99.039,43.736
PFG,2014-09-30,-0.0,-0.06,0.018,1.57,-0.054,0.845,0.042,0.501,0.111,0.173,0.307,0.332,27.366,14.311,23.326
ATW,2014-09-30,-0.106,1.111,-0.019,1.58,-0.025,0.053,0.06,0.72,0.16,0.249,0.441,0.476,30.174,20.824,21.837
ACN,2014-09-30,-0.063,0.722,0.054,1.328,-0.476,-0.58,0.039,0.461,0.102,0.159,0.282,0.305,21.006,13.273,16.282
BBT,2014-09-30,-0.008,0.052,0.274,0.854,0.417,0.716,0.04,0.482,0.107,0.167,0.295,0.319,21.467,13.907,16.354
ACM,2014-09-30,0.012,-0.302,0.158,1.39,0.31,0.324,0.063,0.754,0.167,0.261,0.462,0.499,30.546,21.833,21.363
PXD,2014-09-30,-0.084,1.195,0.235,1.186,0.684,-0.322,0.073,0.867,0.193,0.3,0.531,0.574,32.197,25.166,20.083
CBG,2014-09-30,-0.056,0.621,0.194,1.686,1.151,0.115,0.065,0.776,0.172,0.269,0.476,0.513,36.683,22.334,29.1
CERN,2014-09-30,-0.005,0.219,-0.2,0.582,0.157,-0.356,0.056,0.666,0.148,0.23,0.408,0.441,21.467,19.398,9.195
QCOM,2014-09-30,-0.048,0.505,0.166,1.33,-0.525,-0.446,0.047,0.559,0.124,0.193,0.342,0.37,22.976,16.165,16.328
INWK,2014-09-30,-0.094,1.209,0.486,0.444,1.209,-0.075,0.099,1.183,0.263,0.409,0.725,0.782,38.565,34.432,17.368
BWS,2014-09-30,-0.035,0.647,0.519,0.668,0.944,0.63,0.117,1.391,0.309,0.481,0.852,0.92,44.711,40.505,18.932
JCI,2014-09-30,-0.048,0.511,-0.032,1.423,0.586,0.043,0.052,0.616,0.137,0.213,0.377,0.407,28.387,17.734,22.166
JNJ,2014-09-30,0.021,-0.204,0.015,0.614,-0.369,0.127,0.032,0.378,0.084,0.131,0.232,0.25,13.525,10.989,7.884
JWN,2014-09-30,-0.083,1.014,0.012,1.242,-0.084,0.081,0.057,0.677,0.15,0.234,0.415,0.448,26.013,19.636,17.063
TDC,2014-09-30,-0.138,1.654,0.126,0.808,0.3,-0.605,0.079,0.939,0.208,0.325,0.575,0.621,30.665,27.333,13.903
TRV,2014-09-30,-0.015,0.198,0.139,0.94,-0.518,-0.013,0.036,0.426,0.095,0.147,0.261,0.282,16.955,12.333,11.635
K,2014-09-30,-0.028,0.354,0.018,0.48,-0.461,0.435,0.038,0.451,0.1,0.156,0.276,0.298,14.792,13.131,6.811
